;Francis reversible pump-turbine characteristic FR300T-Torrao a0=1_added
;a0=1 mm added (somehow created according to a0=4 mm and a0=2 mm), a0 closed added
;T11 at a0 closed taken from created a0=1
;Model Francis
;a0max = 38 mm
;y    N11    Q11    T11
<list>
a0	N11	Q11	T11
0.894736842	85.11491668	1.15185519	1099.295745
0.894736842	86.49514964	1.153263902	1084.036693
0.894736842	88.17461219	1.154646947	1067.25274
0.894736842	89.65393735	1.157708106	1052.779689
0.894736842	90.97074237	1.159662777	1040.438
0.894736842	92.57562865	1.162306107	1025.67838
0.894736842	95.16555387	1.166151496	1000.896364
0.894736842	97.71526551	1.173109055	978.0412717
0.894736842	100.0660448	1.175593159	955.035918
0.894736842	102.338075	1.179787702	932.900009
0.894736842	104.9137996	1.18514888	907.159943
0.894736842	107.4979121	1.190277738	878.3730251
0.894736842	110.1234987	1.193687818	843.9314128
0.894736842	112.3794443	1.194290404	804.5921567
0.894736842	115.0866213	1.191191402	750.4798649
0.894736842	117.6462573	1.189829301	697.6415779
0.894736842	120.0565695	1.183990758	641.4373694
0.894736842	122.5598835	1.164889305	531.6922411
0.894736842	124.8875166	1.088985051	263.8959178
0.894736842	127.2185022	0.98557883	-10.50569924
0.894736842	128.1858275	0.9131829	-158.2938824
0.894736842	128.4834126	0.835028678	-288.9379358
0.894736842	128.2730509	0.759894711	-394.6600725
0.894736842	128.2747742	0.723707789	-441.4681556
0.894736842	127.4717162	0.65586948	-524.0833845
0.894736842	121.5762375	0.344476592	-760.7342649
0.894736842	111.376322	-0.014176816	-748.0919268
0.894736842	110.8881802	-0.039799021	-819.7034191
0.894736842	110.4685902	-0.063769121	-853.8072167
0.894736842	109.9321251	-0.088759886	-887.5677897
0.894736842	109.5424185	-0.112789452	-922.0619166
0.894736842	109.0217928	-0.144078663	-968.8194628
0.894736842	108.6393365	-0.167333534	-1006.303071
0.894736842	108.4644248	-0.210016509	-1092.551639
0.894736842	108.5336433	-0.224027115	-1129.107363
0.842105263	-104.1521584	-1.422248072	1515.810171
0.842105263	-102.3719417	-1.384225405	1476.404517
0.842105263	-97.31627974	-1.258787241	1355.130182
0.842105263	-93.84596311	-1.156146061	1270.39025
0.842105263	-91.10493285	-1.072033788	1208.405974
0.842105263	-88.56241369	-0.989045667	1144.439574
0.842105263	-86.44171842	-0.912979357	1085.084669
0.842105263	-84.56266458	-0.844920747	1031.842337
0.842105263	-82.8769554	-0.777023419	979.3392098
0.842105263	-81.65028304	-0.715382412	932.4131456
0.842105263	-81.05273978	-0.665205519	899.8255246
0.842105263	-85.02669743	-0.650188233	955.6867069
0.842105263	-84.50915736	-0.59494935	924.1700792
0.842105263	-84.1888534	-0.544140835	908.0358717
0.842105263	-82.51471866	-0.48482757	857.0258186
0.842105263	-81.7663933	-0.434364767	819.5857241
0.842105263	-80.75217382	-0.376121925	780.9287962
0.842105263	-80.48654724	-0.330450557	753.0387108
0.842105263	-80.06705715	-0.28673663	734.8420051
0.842105263	-79.28433767	-0.233564402	708.9635979
0.842105263	-78.46342911	-0.187765455	685.7677707
0.842105263	-77.68724752	-0.140559355	665.5170849
0.842105263	-76.78182788	-0.091562386	651.4868945
0.842105263	-75.90509531	-0.046009385	648.909168
0.842105263	-72.99865729	0.048733908	641.7901116
0.842105263	-70.28920679	0.12255091	671.5651945
0.842105263	-67.89409454	0.29465238	688.0640435
0.842105263	-64.05870949	0.398668177	748.1361682
0.842105263	-56.93185291	0.501322681	843.6172691
